Epochs,Iterations,Loss
1,10,2.2815046548843383
1,20,1.7964372873306274
1,30,1.4728894352912902
1,40,1.3028643727302551
1,50,1.2932574570178985
1,60,1.2230573356151582
1,70,1.205337804555893
1,80,1.1410391092300416
1,90,0.9904457092285156
1,100,0.9969031870365143
1,110,1.1524308145046234
1,120,0.9815355360507965
1,130,1.132688146829605
1,140,0.8951655328273773
1,150,0.9102273643016815
1,160,1.2200721442699431
1,170,0.9779263377189636
1,180,0.9358721673488617
1,190,1.2107803046703338
1,200,0.8689629375934601
1,210,1.1877100884914398
1,220,0.8800075829029084
1,230,0.8335232108831405
1,240,0.927460926771164
1,250,0.7360654264688492
1,260,0.831995815038681
1,270,0.9527358412742615
1,280,0.9101322293281555
1,290,0.8916537165641785
1,300,0.7038915157318115
1,310,0.8964057087898254
1,320,0.8866944432258606
1,330,0.8410975277423859
1,340,0.9047613739967346
1,350,0.9001567363739014
1,360,0.8455423593521119
1,370,0.8604466080665588
1,380,1.043977552652359
1,390,0.8880356252193451
1,400,0.6978242099285126
1,410,0.768339678645134
1,420,0.9400400638580322
1,430,0.9083571553230285
1,440,0.7029392033815384
1,450,0.807680082321167
1,460,0.7830121457576752
1,470,0.9175965368747712
1,480,0.7637143433094025
1,490,0.7281218230724334
1,500,0.7941641271114349
1,510,0.7025209367275238
1,520,0.7581650733947753
1,530,0.6511134088039399
1,540,0.7470978558063507
1,550,0.7987161725759506
1,560,0.8617444276809693
1,570,0.6384433329105377
1,580,0.6343497037887573
1,590,0.8384074628353119
1,600,0.7068844318389893
1,610,0.754912382364273
1,620,0.7881243377923965
1,630,0.7027096718549728
1,640,0.6983083844184875
1,650,0.6578360795974731
1,660,0.8503933906555176
1,670,0.784195876121521
1,680,0.7242681562900544
1,690,0.6142447501420975
1,700,0.7776474237442017
1,710,0.7491715133190155
1,720,0.6994070172309875
1,730,0.8449051976203918
1,740,0.6919938564300537
1,750,0.7351017624139786
1,760,0.67833371758461
1,770,0.8854501605033874
1,780,0.7651903510093689
1,790,0.7668104410171509
1,800,0.778699916601181
1,810,0.6736392021179199
1,820,0.7726506054401397
1,830,0.6330399334430694
1,840,0.7337994188070297
1,850,0.7073142200708389
1,860,0.5964657127857208
1,870,0.7069816708564758
1,880,0.7259358584880828
1,890,0.7592676490545273
1,900,0.7438920974731446
1,910,0.6140336394309998
1,920,0.778415197134018
1,930,0.7444228500127792
1,940,0.8354259490966797
1,950,0.9220656216144562
1,960,0.7037233769893646
1,970,0.8046646118164062
1,980,0.7295813113451004
1,990,0.7468342095613479
1,1000,0.7727637767791748
1,1010,0.728978842496872
1,1020,0.6619674265384674
1,1030,0.7568976014852524
1,1040,0.6826695322990417
1,1050,0.6057682543992996
1,1060,0.8590839266777038
1,1070,0.7407348930835724
1,1080,0.7509936451911926
1,1090,0.6379444688558579
1,1100,0.7403367698192597
1,1110,0.6794334441423416
1,1120,0.6130108028650284
1,1130,0.6852436780929565
1,1140,0.7289355516433715
1,1150,0.7258729130029679
1,1160,0.7339955508708954
1,1170,0.7260077476501465
1,1180,0.732534059882164
1,1190,0.6348421066999436
1,1200,0.6370941311120987
1,1210,0.6322836220264435
1,1220,0.5907470405101776
1,1230,0.6710408478975296
1,1240,0.7645186424255371
1,1250,0.5983231902122498
1,1260,0.6572104156017303
1,1270,0.7081445664167404
1,1280,0.5674807280302048
1,1290,0.675382661819458
1,1300,0.6557233512401581
1,1310,0.6921049386262894
1,1320,0.8518139511346817
1,1330,0.7296530574560165
1,1340,0.6937488436698913
1,1350,0.6461998403072358
1,1360,0.5889326155185699
1,1370,0.7287419259548187
1,1380,0.6295805931091308
1,1390,0.6359544545412064
1,1400,0.7324069261550903
1,1410,0.675242879986763
1,1420,0.6775467574596405
1,1430,0.5624930948019028
1,1440,0.7583087801933288
1,1450,0.5939694911241531
1,1460,0.6579652547836303
1,1470,0.7010953992605209
1,1480,0.6413026750087738
1,1490,0.7046302109956741
1,1500,0.5769541710615158
1,1510,0.6463053166866303
1,1520,0.6163247048854827
1,1530,0.7977392196655273
1,1540,0.6824930667877197
1,1550,0.5734921500086785
1,1560,0.7062905132770538
1,1570,0.5568435966968537
1,1580,0.6778874844312668
1,1590,0.633149042725563
1,1600,0.5649841517210007
1,1610,0.6025410711765289
2,1620,0.6863972306251526
2,1630,0.5702696979045868
2,1640,0.7226728618144989
2,1650,0.6361164778470993
2,1660,0.6656038880348205
2,1670,0.5463409185409546
2,1680,0.5153026163578034
2,1690,0.6393712878227233
2,1700,0.6168541759252548
2,1710,0.6222011566162109
2,1720,0.5883315801620483
2,1730,0.665784803032875
2,1740,0.6679617881774902
2,1750,0.6866442024707794
2,1760,0.5732848733663559
2,1770,0.6168346136808396
2,1780,0.6195604532957077
2,1790,0.6497745335102081
2,1800,0.6129417702555656
2,1810,0.6621229827404023
2,1820,0.6407941728830338
2,1830,0.7124264478683472
2,1840,0.7174173027276993
2,1850,0.6314624607563019
2,1860,0.602093505859375
2,1870,0.596893972158432
2,1880,0.5542337715625762
2,1890,0.6005965024232864
2,1900,0.586415097117424
2,1910,0.6528834968805313
2,1920,0.582897624373436
2,1930,0.6254860699176789
2,1940,0.6245768338441848
2,1950,0.6897849053144455
2,1960,0.5383908927440644
2,1970,0.6037218570709229
2,1980,0.5243361562490463
2,1990,0.5963648974895477
2,2000,0.5905309170484543
2,2010,0.6685049206018447
2,2020,0.6001940876245498
2,2030,0.5870722770690918
2,2040,0.6423599928617477
2,2050,0.6240594685077667
2,2060,0.5783200442790986
2,2070,0.5955431312322617
2,2080,0.5783029347658157
2,2090,0.747985202074051
2,2100,0.7364141494035721
2,2110,0.6377404451370239
2,2120,0.6376861244440079
2,2130,0.6618849515914917
2,2140,0.6898414731025696
2,2150,0.7568746984004975
2,2160,0.7361048936843873
2,2170,0.6388201266527176
2,2180,0.6912838503718376
2,2190,0.7058807969093323
2,2200,0.7682829111814499
2,2210,0.644571277499199
2,2220,0.6854663968086243
2,2230,0.5700859755277634
2,2240,0.7451038390398026
2,2250,0.586440521478653
2,2260,0.645441421866417
2,2270,0.5407045602798461
2,2280,0.6055329859256744
2,2290,0.7304356932640076
2,2300,0.5891900002956391
2,2310,0.6536694079637527
2,2320,0.5975794345140457
2,2330,0.662979257106781
2,2340,0.5417199313640595
2,2350,0.5470300555229187
2,2360,0.5629125565290451
2,2370,0.5840709209442139
2,2380,0.7546474456787109
2,2390,0.6852449417114258
2,2400,0.622416514158249
2,2410,0.6463037937879562
2,2420,0.5309782922267914
2,2430,0.6405773371458053
2,2440,0.5809674233198165
2,2450,0.6951882004737854
2,2460,0.5315498024225235
2,2470,0.6114217042922974
2,2480,0.6068749725818634
2,2490,0.7103814154863357
2,2500,0.6323680073022843
2,2510,0.7239086896181106
2,2520,0.5492016047239303
2,2530,0.5331404358148575
2,2540,0.6691420614719391
2,2550,0.6798019230365753
2,2560,0.8050537765026092
2,2570,0.5908892005681992
2,2580,0.6610336303710938
2,2590,0.5216004431247712
2,2600,0.533330325782299
2,2610,0.6041901886463166
2,2620,0.695181667804718
2,2630,0.6510546505451202
2,2640,0.5226250290870667
2,2650,0.6322717547416687
2,2660,0.5715902090072632
2,2670,0.6758782207965851
2,2680,0.5415650397539139
2,2690,0.6277314990758895
2,2700,0.5837354063987732
2,2710,0.5828930899500847
2,2720,0.5372789919376373
2,2730,0.5223154932260513
2,2740,0.5443529278039932
2,2750,0.5672023981809616
2,2760,0.6528912961483002
2,2770,0.5963740646839142
2,2780,0.6662661582231522
2,2790,0.5793839514255523
2,2800,0.5910554975271225
2,2810,0.5196332901716232
2,2820,0.5031098872423172
2,2830,0.5981622964143753
2,2840,0.6697369813919067
2,2850,0.5490487068891525
2,2860,0.6626745998859406
2,2870,0.5782757014036178
2,2880,0.5190818339586258
2,2890,0.565090098977089
2,2900,0.6194485664367676
2,2910,0.6662437677383423
2,2920,0.5711074084043503
2,2930,0.4578178808093071
2,2940,0.5839188128709794
2,2950,0.5909670621156693
2,2960,0.5598753750324249
2,2970,0.49188117384910585
2,2980,0.5550833359360695
2,2990,0.6345357775688172
2,3000,0.6070392161607743
2,3010,0.4358202576637268
2,3020,0.512377780675888
2,3030,0.5475565493106842
2,3040,0.603292053937912
2,3050,0.5909786760807038
2,3060,0.5158403992652894
2,3070,0.5849630206823349
2,3080,0.6379420042037964
2,3090,0.4987363278865814
2,3100,0.5430877715349197
2,3110,0.6287890255451203
2,3120,0.5171902596950531
2,3130,0.5558154135942459
2,3140,0.5611290454864502
2,3150,0.5677758112549782
2,3160,0.5760484158992767
